"id_alert","id_pcap","label","mean_win_fwd","mean_win_bwd","ack_count","syn_count","fwd_pck","bwd_pck","iat_max","iat_min","iat_mean","ports_number","status"
8,8,"BENIGN",32747,32747,1,0,"10.00","10.00","0.00","0.00","0.00",6,"MALIGN"
1,1,"BENIGN",32747,32747,0,1,"4.00","4.00","0.00","0.00","0.00",3,"BENIGN"
2,2,"BENIGN",32747,32747,1,0,"4.00","4.00","0.00","0.00","0.00",3,"BENIGN"
3,4,"BENIGN",32747,32747,1,0,"6.00","6.00","0.00","0.00","0.00",4,"BENIGN"
4,3,"BENIGN",32747,32747,0,1,"4.00","4.00","0.00","0.00","0.00",3,"BENIGN"
12,11,"BENIGN",35266,35266,0,1,"13.00","13.00","0.00","0.00","0.00",7,"MALIGN"
5,5,"BENIGN",37425,37425,0,1,"7.00","7.00","0.00","0.00","0.00",4,"MALIGN"
6,7,"BENIGN",32747,32747,0,1,"8.00","8.00","0.00","0.00","0.00",5,"MALIGN"
7,6,"BENIGN",32747,32747,1,0,"8.00","8.00","0.00","0.00","0.00",5,"MALIGN"
9,9,"BENIGN",32747,32747,0,1,"10.00","10.00","0.00","0.00","0.00",6,"MALIGN"
10,10,"BENIGN",32747,32747,1,0,"12.00","12.00","0.00","0.00","0.00",7,"MALIGN"
11,12,"BENIGN",32747,32747,1,0,"14.00","14.00","0.00","0.00","0.00",8,"MALIGN"
13,13,"BENIGN",34930,34930,0,1,"15.00","15.00","0.00","0.00","0.00",8,"MALIGN"
14,14,"BENIGN",32747,32747,1,0,"16.00","16.00","0.00","0.00","0.00",9,"MALIGN"
15,15,"BENIGN",34673,34673,0,1,"17.00","17.00","0.00","0.00","0.00",9,"MALIGN"
16,16,"BENIGN",32747,32747,1,0,"18.00","18.00","0.00","0.00","0.00",10,"MALIGN"
17,17,"BENIGN",34471,34471,0,1,"19.00","19.00","0.00","0.00","0.00",10,"MALIGN"
18,18,"BENIGN",32747,32747,1,0,"20.00","20.00","0.00","0.00","0.00",11,"MALIGN"
19,19,"BENIGN",32747,32747,0,1,"20.00","20.00","0.00","0.00","0.00",11,"MALIGN"
20,21,"BENIGN",32747,32747,0,1,"22.00","22.00","0.00","0.00","0.00",12,"MALIGN"
21,20,"BENIGN",32747,32747,1,0,"22.00","22.00","0.00","0.00","0.00",12,"MALIGN"
22,22,"BENIGN",34171,34171,1,0,"23.00","23.00","0.00","0.00","0.00",12,"MALIGN"
23,23,"BENIGN",32747,32747,0,1,"24.00","24.00","1.00","0.00","0.04",13,"MALIGN"
24,24,"BENIGN",32747,32747,1,0,"26.00","26.00","1.00","0.00","0.04",14,"MALIGN"
25,25,"BENIGN",33960,33960,0,1,"27.00","27.00","1.00","0.00","0.04",14,"MALIGN"
26,26,"BENIGN",32747,32747,1,0,"28.00","28.00","1.00","0.00","0.04",15,"MALIGN"
27,27,"BENIGN",32747,32747,0,1,"28.00","28.00","1.00","0.00","0.04",15,"MALIGN"
28,28,"BENIGN",33876,33876,1,0,"29.00","29.00","1.00","0.00","0.04",15,"MALIGN"
29,29,"BENIGN",33803,33803,0,1,"31.00","31.00","1.00","0.00","0.03",16,"MALIGN"
30,30,"BENIGN",32747,32747,1,0,"32.00","32.00","1.00","0.00","0.03",17,"MALIGN"
31,31,"BENIGN",32747,32747,0,1,"32.00","32.00","1.00","0.00","0.03",17,"MALIGN"
32,33,"BENIGN",33683,33683,0,1,"35.00","35.00","1.00","0.00","0.03",18,"MALIGN"
33,32,"BENIGN",32747,32747,1,0,"34.00","34.00","1.00","0.00","0.03",18,"MALIGN"
34,34,"BENIGN",32747,32747,1,0,"36.00","36.00","1.00","0.00","0.03",19,"MALIGN"
35,35,"BENIGN",33632,33632,0,1,"37.00","37.00","1.00","0.00","0.03",19,"MALIGN"
36,36,"BENIGN",33632,33632,1,0,"37.00","37.00","1.00","0.00","0.03",19,"MALIGN"
37,37,"BENIGN",33587,33587,0,1,"39.00","39.00","1.00","0.00","0.03",20,"MALIGN"
38,38,"BENIGN",33587,33587,1,0,"39.00","39.00","1.00","0.00","0.03",20,"MALIGN"
39,39,"BENIGN",32747,32747,0,1,"40.00","40.00","1.00","0.00","0.03",21,"MALIGN"
41,41,"BENIGN",64248,64248,0,1,"2.00","2.00","1.00","0.00","0.50",1,"BENIGN"
42,42,"BENIGN",65160,65160,1,1,"1.00","1.00","1.00","0.00","0.33",1,"BENIGN"
43,43,"BENIGN",64250,64250,1,0,"3.00","3.00","1.00","0.00","0.33",1,"BENIGN"
44,44,"BENIGN",64250,64250,1,0,"3.00","3.00","1.00","0.00","0.25",1,"BENIGN"
45,45,"BENIGN",65069,65069,1,0,"3.00","3.00","1.00","0.00","0.17",1,"BENIGN"
46,46,"BENIGN",64252,64252,1,0,"4.00","4.00","1.00","0.00","0.17",1,"BENIGN"
47,47,"BENIGN",65069,65069,1,0,"3.00","3.00","1.00","0.00","0.17",1,"BENIGN"
48,48,"BENIGN",502,502,1,0,"2.00","2.00","0.00","0.00","0.00",1,"BENIGN"
49,49,"BENIGN",509,509,1,0,"1.00","1.00","0.00","0.00","0.00",1,"BENIGN"
50,50,"BENIGN",502,502,1,0,"3.00","3.00","0.00","0.00","0.00",1,"BENIGN"
51,51,"BENIGN",502,502,1,0,"3.00","3.00","0.00","0.00","0.00",1,"BENIGN"
53,53,"BENIGN",65058,65058,1,0,"4.00","4.00","1.00","0.00","0.12",1,"BENIGN"
54,54,"BENIGN",64227,64227,1,0,"5.00","5.00","1.00","0.00","0.22",1,"BENIGN"
55,55,"BENIGN",65051,65051,1,0,"2.50","2.50","1.00","0.00","0.20",1,"BENIGN"
56,56,"BENIGN",64198,64198,1,0,"3.50","3.50","1.00","0.00","0.17",1,"BENIGN"
57,57,"BENIGN",64198,64198,1,0,"3.50","3.50","1.00","0.00","0.17",1,"BENIGN"
58,58,"BENIGN",65046,65046,1,0,"3.00","3.00","1.00","0.00","0.15",1,"BENIGN"
59,59,"BENIGN",64190,64190,1,0,"4.00","4.00","1.00","0.00","0.15",1,"BENIGN"
60,60,"BENIGN",502,502,1,0,"4.00","4.00","1.00","0.00","0.20",1,"BENIGN"
62,62,"BENIGN",65062,65062,1,1,"3.50","3.50","1.00","0.00","0.12",2,"BENIGN"
63,63,"BENIGN",64206,64206,1,0,"5.50","5.50","1.00","0.00","0.12",1,"MALIGN"
64,64,"BENIGN",64210,64210,1,0,"6.00","6.00","1.00","0.00","0.11",1,"MALIGN"
65,65,"BENIGN",65058,65058,1,0,"4.00","4.00","1.00","0.00","0.11",2,"BENIGN"
66,66,"BENIGN",64210,64210,1,0,"6.00","6.00","1.00","0.00","0.10",1,"MALIGN"
67,68,"BENIGN",502,502,1,0,"3.00","3.00","1.00","0.00","0.25",1,"BENIGN"
68,67,"BENIGN",65054,65054,1,0,"4.50","4.50","1.00","0.00","0.10",2,"BENIGN"
