"id_alert","id_pcap","label","mean_win_fwd","mean_win_bwd","ack_count","syn_count","fwd_pck","bwd_pck","iat_max","iat_min","iat_mean","ports_number","status"
1,1,"BENIGN",43663,43663,0,1,"3.00","3.00","0.00","0.00","0.00",2,"BENIGN"
2,2,"BENIGN",32747,32747,1,0,"4.00","4.00","0.00","0.00","0.00",3,"BENIGN"
3,3,"BENIGN",39297,39297,0,1,"5.00","5.00","0.00","0.00","0.00",3,"BENIGN"
4,4,"BENIGN",39297,39297,1,0,"5.00","5.00","0.00","0.00","0.00",3,"BENIGN"
5,7,"BENIGN",32747,32747,0,1,"8.00","8.00","0.00","0.00","0.00",5,"MALIGN"
6,6,"BENIGN",32747,32747,1,0,"8.00","8.00","0.00","0.00","0.00",5,"MALIGN"
7,5,"BENIGN",32747,32747,0,1,"6.00","6.00","0.00","0.00","0.00",4,"MALIGN"
8,8,"BENIGN",36386,36386,1,0,"9.00","9.00","0.00","0.00","0.00",5,"MALIGN"
9,9,"BENIGN",35724,35724,0,1,"11.00","11.00","0.00","0.00","0.00",6,"MALIGN"
10,10,"BENIGN",32747,32747,1,0,"12.00","12.00","0.00","0.00","0.00",7,"MALIGN"
11,12,"BENIGN",35266,35266,1,0,"13.00","13.00","1.00","0.00","0.08",7,"MALIGN"
12,11,"BENIGN",35266,35266,0,1,"13.00","13.00","1.00","0.00","0.08",7,"MALIGN"
13,13,"BENIGN",34930,34930,0,1,"15.00","15.00","1.00","0.00","0.07",8,"MALIGN"
14,14,"BENIGN",32747,32747,1,0,"16.00","16.00","1.00","0.00","0.07",9,"MALIGN"
15,15,"BENIGN",32747,32747,0,1,"16.00","16.00","1.00","0.00","0.07",9,"MALIGN"
16,16,"BENIGN",34673,34673,1,0,"17.00","17.00","1.00","0.00","0.06",9,"MALIGN"
17,17,"BENIGN",34471,34471,0,1,"19.00","19.00","1.00","0.00","0.06",10,"MALIGN"
18,18,"BENIGN",34471,34471,1,0,"19.00","19.00","1.00","0.00","0.06",10,"MALIGN"
19,19,"BENIGN",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",11,"MALIGN"
20,20,"BENIGN",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",11,"MALIGN"
21,21,"BENIGN",64240,64240,0,1,"1.00","1.00","0.00","0.00","0.00",1,"BENIGN"
22,22,"BENIGN",65160,65160,1,1,"1.00","1.00","0.00","0.00","0.00",1,"BENIGN"
23,24,"BENIGN",64250,64250,1,0,"3.00","3.00","0.00","0.00","0.00",1,"BENIGN"
24,23,"BENIGN",64250,64250,1,0,"3.00","3.00","0.00","0.00","0.00",1,"BENIGN"
25,25,"BENIGN",65069,65069,1,0,"3.00","3.00","0.00","0.00","0.00",1,"BENIGN"
26,26,"BENIGN",64252,64252,1,0,"4.00","4.00","0.00","0.00","0.00",1,"BENIGN"
27,27,"BENIGN",65069,65069,1,0,"3.00","3.00","0.00","0.00","0.00",1,"BENIGN"
28,28,"BENIGN",502,502,1,0,"1.00","1.00","0.00","0.00","0.00",1,"BENIGN"
29,29,"BENIGN",509,509,1,0,"1.00","1.00","0.00","0.00","0.00",1,"BENIGN"
30,30,"BENIGN",502,502,1,0,"3.00","3.00","0.00","0.00","0.00",1,"BENIGN"
31,31,"BENIGN",502,502,1,0,"3.00","3.00","0.00","0.00","0.00",1,"BENIGN"
32,32,"BENIGN",509,509,1,0,"2.00","2.00","0.00","0.00","0.00",1,"BENIGN"
33,33,"BENIGN",65051,65051,1,0,"5.00","5.00","1.00","0.00","0.11",1,"MALIGN"
34,34,"BENIGN",64210,64210,1,0,"6.00","6.00","1.00","0.00","0.10",1,"MALIGN"
35,35,"BENIGN",65051,65051,1,0,"5.00","5.00","1.00","0.00","0.10",1,"MALIGN"
36,36,"BENIGN",64198,64198,1,0,"7.00","7.00","1.00","0.00","0.09",1,"MALIGN"
37,37,"BENIGN",64190,64190,1,0,"8.00","8.00","1.00","0.00","0.08",1,"MALIGN"
38,38,"BENIGN",65046,65046,1,0,"6.00","6.00","1.00","0.00","0.08",1,"MALIGN"
39,39,"BENIGN",64190,64190,1,0,"8.00","8.00","1.00","0.00","0.08",1,"MALIGN"
41,41,"BENIGN",34171,34171,0,1,"11.50","11.50","1.00","0.00","0.09",12,"MALIGN"
42,42,"BENIGN",32747,32747,1,0,"12.00","12.00","1.00","0.00","0.09",13,"MALIGN"
43,43,"BENIGN",34057,34057,0,1,"12.50","12.50","1.00","0.00","0.08",13,"MALIGN"
44,44,"BENIGN",32747,32747,1,0,"13.00","13.00","1.00","0.00","0.08",14,"MALIGN"
45,45,"BENIGN",33960,33960,0,1,"13.50","13.50","1.00","0.00","0.08",14,"MALIGN"
46,46,"BENIGN",33960,33960,1,0,"13.50","13.50","1.00","0.00","0.08",14,"MALIGN"
47,47,"BENIGN",32747,32747,0,1,"14.00","14.00","1.00","0.00","0.07",15,"MALIGN"
48,48,"BENIGN",33876,33876,1,0,"14.50","14.50","1.00","0.00","0.07",15,"MALIGN"
49,50,"BENIGN",33803,33803,1,0,"15.50","15.50","1.00","0.00","0.07",16,"MALIGN"
50,49,"BENIGN",33803,33803,0,1,"15.50","15.50","1.00","0.00","0.07",16,"MALIGN"
51,51,"BENIGN",33739,33739,0,1,"11.00","11.00","1.00","0.00","0.09",17,"MALIGN"
52,52,"BENIGN",32747,32747,1,0,"11.33","11.33","1.00","0.00","0.09",18,"MALIGN"
53,53,"BENIGN",32747,32747,0,1,"11.33","11.33","1.00","0.00","0.09",18,"MALIGN"
55,55,"BENIGN",33632,33632,0,1,"12.33","12.33","1.00","0.00","0.08",19,"MALIGN"
56,56,"BENIGN",32747,32747,1,0,"12.67","12.67","1.00","0.00","0.08",20,"MALIGN"
57,57,"BENIGN",33587,33587,0,1,"13.00","13.00","1.00","0.00","0.08",20,"MALIGN"
58,58,"BENIGN",32747,32747,1,0,"13.33","13.33","1.00","0.00","0.08",21,"MALIGN"
59,59,"BENIGN",32747,32747,0,1,"13.33","13.33","1.00","0.00","0.08",21,"MALIGN"
60,60,"BENIGN",32747,32747,1,0,"13.33","13.33","1.00","0.00","0.08",21,"MALIGN"
61,61,"BENIGN",64195,64195,0,1,"4.50","4.50","1.00","0.00","0.13",1,"MALIGN"
62,62,"BENIGN",65062,65062,1,1,"3.50","3.50","1.00","0.00","0.12",2,"BENIGN"
63,63,"BENIGN",64206,64206,1,0,"5.50","5.50","1.00","0.00","0.11",1,"MALIGN"
64,64,"BENIGN",64206,64206,1,0,"5.50","5.50","1.00","0.00","0.11",1,"MALIGN"
65,65,"BENIGN",65054,65054,1,0,"4.50","4.50","1.00","0.00","0.10",2,"BENIGN"
66,66,"BENIGN",64210,64210,1,0,"6.00","6.00","1.00","0.00","0.10",1,"MALIGN"
67,67,"BENIGN",65054,65054,1,0,"4.50","4.50","1.00","0.00","0.10",2,"BENIGN"
68,68,"BENIGN",502,502,1,0,"2.00","2.00","1.00","0.00","0.38",1,"BENIGN"
69,69,"BENIGN",509,509,1,0,"1.50","1.50","1.00","0.00","0.33",1,"BENIGN"
70,70,"BENIGN",502,502,1,0,"2.33","2.33","1.00","0.00","0.30",1,"BENIGN"
71,71,"BENIGN",502,502,1,0,"2.33","2.33","1.00","0.00","0.30",1,"BENIGN"
73,73,"BENIGN",65048,65048,1,0,"3.67","3.67","1.00","0.00","0.13",2,"BENIGN"
74,74,"BENIGN",64198,64198,1,0,"4.67","4.67","1.00","0.00","0.12",1,"BENIGN"
75,75,"BENIGN",65048,65048,1,0,"3.67","3.67","1.00","0.00","0.12",2,"BENIGN"
76,76,"BENIGN",64194,64194,1,0,"5.00","5.00","1.00","0.00","0.12",1,"BENIGN"
77,77,"BENIGN",64194,64194,1,0,"5.00","5.00","1.00","0.00","0.12",1,"BENIGN"
78,78,"BENIGN",65046,65046,1,0,"4.00","4.00","1.00","0.00","0.15",2,"BENIGN"
79,79,"BENIGN",64190,64190,1,0,"4.00","4.00","1.00","0.00","0.15",1,"BENIGN"
80,80,"BENIGN",502,502,1,0,"2.00","2.00","1.00","0.00","0.36",1,"BENIGN"
81,81,"BENIGN",64192,64192,0,1,"1.42","1.42","8.00","0.00","0.41",1,"BENIGN"
82,82,"BENIGN",65055,65055,1,1,"1.08","1.08","8.00","0.00","0.40",3,"BENIGN"
40,40,"BENIGN",502,502,1,0,"4.00","4.00","1.00","0.00","0.20",1,"BENIGN"
54,54,"BENIGN",32747,32747,1,0,"12.00","12.00","1.00","0.00","0.09",19,"MALIGN"
72,72,"BENIGN",509,509,1,0,"1.33","1.33","1.00","0.00","0.30",1,"BENIGN"
83,83,"BENIGN",64199,64199,1,0,"1.58","1.58","8.00","0.00","0.38",1,"BENIGN"
84,84,"BENIGN",64199,64199,1,0,"1.58","1.58","8.00","0.00","0.38",1,"BENIGN"
85,85,"BENIGN",65053,65053,1,0,"1.17","1.17","8.00","0.00","0.36",3,"BENIGN"
87,87,"BENIGN",65051,65051,1,0,"1.25","1.25","8.00","0.00","0.35",3,"BENIGN"
88,88,"BENIGN",502,502,1,0,"0.77","0.77","9.00","0.00","0.93",1,"BENIGN"
89,89,"BENIGN",509,509,1,0,"0.38","0.38","9.00","0.00","0.87",1,"BENIGN"
90,90,"BENIGN",502,502,1,0,"0.85","0.85","9.00","0.00","0.81",1,"BENIGN"
91,91,"BENIGN",502,502,1,0,"0.85","0.85","9.00","0.00","0.81",1,"BENIGN"
92,92,"BENIGN",509,509,1,0,"0.46","0.46","9.00","0.00","0.81",1,"BENIGN"
93,93,"BENIGN",65048,65048,1,0,"1.31","1.31","8.00","0.00","0.35",3,"BENIGN"
94,94,"BENIGN",64195,64195,1,0,"1.69","1.69","8.00","0.00","0.34",1,"BENIGN"
95,95,"BENIGN",65048,65048,1,0,"1.31","1.31","8.00","0.00","0.34",3,"BENIGN"
96,96,"BENIGN",64192,64192,1,0,"1.64","1.64","8.00","0.00","0.36",1,"BENIGN"
97,97,"BENIGN",64192,64192,1,0,"1.64","1.64","8.00","0.00","0.35",1,"BENIGN"
98,98,"BENIGN",65046,65046,1,0,"1.29","1.29","8.00","0.00","0.34",3,"BENIGN"
99,99,"BENIGN",64190,64190,1,0,"1.71","1.71","8.00","0.00","0.34",1,"BENIGN"
101,101,"BENIGN",64192,64192,0,1,"1.47","1.47","8.00","0.00","0.40",1,"BENIGN"
102,102,"BENIGN",65052,65052,1,1,"1.12","1.12","8.00","0.00","0.39",4,"BENIGN"
103,103,"BENIGN",64196,64196,1,0,"1.59","1.59","8.00","0.00","0.38",1,"BENIGN"
