"id_alert","id_pcap","label","mean_win_fwd","mean_win_bwd","ack_count","syn_count","fwd_pck","bwd_pck","iat_max","iat_min","iat_mean","ports_number","status"
1,2,"BENNING",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
2,1,"BENNING",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
3,4,"BENNING",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
4,5,"BENNING",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
5,3,"BENNING",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
6,7,"BENNING",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
7,6,"BENNING",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
8,8,"BENNING",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
9,10,"BENNING",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
10,9,"BENNING",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
11,11,"BENNING",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
12,12,"BENNING",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
13,13,"BENNING",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
14,14,"BENNING",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
15,16,"BENNING",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
16,15,"BENNING",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
17,17,"BENNING",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
18,18,"BENNING",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
19,19,"BENNING",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
20,22,"BENNING",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
21,21,"BENNING",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
22,20,"BENNING",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
23,25,"BENNING",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
24,23,"BENNING",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
