"id_alert","id_pcap","label","mean_win_fwd","mean_win_bwd","ack_count","syn_count","fwd_pck","bwd_pck","iat_max","iat_min","iat_mean","ports_number","status"
1,2,"BENIGN",39297,39297,1,0,"5.00","5.00","0.00","0.00","0.00",3,"NEW"
2,1,"BENIGN",43663,43663,0,1,"3.00","3.00","0.00","0.00","0.00",2,"NEW"
3,3,"BENIGN",32747,32747,0,1,"6.00","6.00","0.00","0.00","0.00",4,"NEW"
4,4,"BENIGN",32747,32747,1,0,"6.00","6.00","0.00","0.00","0.00",4,"NEW"
5,6,"BENIGN",36386,36386,1,0,"9.00","9.00","0.00","0.00","0.00",5,"NEW"
6,5,"BENIGN",36386,36386,0,1,"9.00","9.00","0.00","0.00","0.00",5,"NEW"
7,8,"BENIGN",32747,32747,1,0,"12.00","12.00","0.00","0.00","0.00",7,"NEW"
8,7,"BENIGN",35724,35724,0,1,"11.00","11.00","0.00","0.00","0.00",6,"NEW"
9,10,"BENIGN",32747,32747,1,0,"14.00","14.00","0.00","0.00","0.00",8,"NEW"
10,9,"BENIGN",35266,35266,0,1,"13.00","13.00","0.00","0.00","0.00",7,"NEW"
11,11,"BENIGN",32747,32747,0,1,"16.00","16.00","1.00","0.00","0.07",9,"NEW"
12,12,"BENIGN",34673,34673,1,0,"17.00","17.00","1.00","0.00","0.06",9,"NEW"
13,13,"BENIGN",32747,32747,0,1,"18.00","18.00","1.00","0.00","0.06",10,"NEW"
14,14,"BENIGN",32747,32747,1,0,"18.00","18.00","1.00","0.00","0.06",10,"NEW"
15,15,"BENIGN",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",11,"NEW"
16,16,"BENIGN",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",11,"NEW"
17,17,"BENIGN",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",11,"NEW"
18,18,"BENIGN",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",11,"NEW"
19,20,"BENIGN",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",11,"NEW"
20,19,"BENIGN",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",11,"NEW"
21,22,"BENIGN",65069,65069,1,1,"3.00","3.00","1.00","0.00","0.17",1,"NEW"
22,21,"BENIGN",64252,64252,0,1,"4.00","4.00","1.00","0.00","0.17",1,"NEW"
23,23,"BENIGN",64252,64252,1,0,"4.00","4.00","1.00","0.00","0.17",1,"NEW"
24,24,"BENIGN",64252,64252,1,0,"4.00","4.00","1.00","0.00","0.17",1,"NEW"
25,25,"BENIGN",65069,65069,1,0,"3.00","3.00","1.00","0.00","0.17",1,"NEW"
26,26,"BENIGN",64252,64252,1,0,"4.00","4.00","1.00","0.00","0.17",1,"NEW"
27,27,"BENIGN",65051,65051,1,0,"2.50","2.50","1.00","0.00","0.22",1,"NEW"
28,28,"BENIGN",502,502,1,0,"3.00","3.00","0.00","0.00","0.00",1,"NEW"
29,29,"BENIGN",509,509,1,0,"2.00","2.00","0.00","0.00","0.00",1,"NEW"
30,30,"BENIGN",502,502,1,0,"3.00","3.00","0.00","0.00","0.00",1,"NEW"
31,31,"BENIGN",502,502,1,0,"3.00","3.00","0.00","0.00","0.00",1,"NEW"
32,32,"BENIGN",509,509,1,0,"2.00","2.00","1.00","0.00","0.20",1,"NEW"
33,33,"BENIGN",65046,65046,1,0,"3.00","3.00","1.00","0.00","0.15",1,"NEW"
34,34,"BENIGN",64190,64190,1,0,"4.00","4.00","1.00","0.00","0.15",1,"NEW"
35,35,"BENIGN",65046,65046,1,0,"3.00","3.00","1.00","0.00","0.15",1,"NEW"
36,36,"BENIGN",64190,64190,1,0,"4.00","4.00","1.00","0.00","0.15",1,"NEW"
37,37,"BENIGN",64190,64190,1,0,"4.00","4.00","1.00","0.00","0.15",1,"NEW"
38,38,"BENIGN",65046,65046,1,0,"3.00","3.00","1.00","0.00","0.15",1,"NEW"
39,39,"BENIGN",64190,64190,1,0,"4.00","4.00","1.00","0.00","0.15",1,"NEW"
40,40,"BENIGN",502,502,1,0,"4.00","4.00","1.00","0.00","0.20",1,"NEW"
41,41,"BENIGN",33876,33876,0,1,"7.25","7.25","2.00","0.00","0.14",15,"NEW"
42,42,"BENIGN",33803,33803,1,0,"7.75","7.75","2.00","0.00","0.13",16,"NEW"
43,43,"BENIGN",33739,33739,0,1,"8.25","8.25","2.00","0.00","0.12",17,"NEW"
44,45,"BENIGN",33739,33739,0,1,"8.25","8.25","2.00","0.00","0.12",17,"NEW"
45,44,"BENIGN",33739,33739,1,0,"8.25","8.25","2.00","0.00","0.12",17,"NEW"
46,46,"BENIGN",33683,33683,1,0,"8.75","8.75","2.00","0.00","0.12",18,"NEW"
47,47,"BENIGN",33632,33632,0,1,"9.25","9.25","2.00","0.00","0.11",19,"NEW"
48,48,"BENIGN",33632,33632,1,0,"9.25","9.25","2.00","0.00","0.11",19,"NEW"
