"id_alert","id_pcap","label","mean_win_fwd","mean_win_bwd","ack_count","syn_count","fwd_pck","bwd_pck","iat_max","iat_min","iat_mean","ports_number","status"
1,2,"BENIGN",32747,32747,1,0,"4.00","4.00","0.00","0.00","0.00",3,"NEW"
2,1,"BENIGN",43663,43663,0,1,"3.00","3.00","0.00","0.00","0.00",2,"NEW"
3,3,"BENIGN",39297,39297,0,1,"5.00","5.00","0.00","0.00","0.00",3,"NEW"
4,4,"BENIGN",32747,32747,1,0,"6.00","6.00","0.00","0.00","0.00",4,"NEW"
5,5,"BENIGN",37425,37425,0,1,"7.00","7.00","0.00","0.00","0.00",4,"NEW"
6,6,"BENIGN",32747,32747,1,0,"8.00","8.00","0.00","0.00","0.00",5,"NEW"
7,7,"BENIGN",36386,36386,0,1,"9.00","9.00","0.00","0.00","0.00",5,"NEW"
8,8,"BENIGN",32747,32747,1,0,"10.00","10.00","0.00","0.00","0.00",6,"NEW"
9,9,"BENIGN",32747,32747,0,1,"10.00","10.00","0.00","0.00","0.00",6,"NEW"
10,10,"BENIGN",32747,32747,1,0,"12.00","12.00","1.00","0.00","0.09",7,"NEW"
11,11,"BENIGN",35266,35266,0,1,"13.00","13.00","1.00","0.00","0.08",7,"NEW"
12,12,"BENIGN",32747,32747,1,0,"14.00","14.00","1.00","0.00","0.08",8,"NEW"
13,14,"BENIGN",32747,32747,1,0,"16.00","16.00","1.00","0.00","0.07",9,"NEW"
14,13,"BENIGN",34930,34930,0,1,"15.00","15.00","1.00","0.00","0.07",8,"NEW"
15,15,"BENIGN",34673,34673,0,1,"17.00","17.00","1.00","0.00","0.06",9,"NEW"
16,16,"BENIGN",32747,32747,1,0,"18.00","18.00","1.00","0.00","0.06",10,"NEW"
17,17,"BENIGN",34471,34471,0,1,"19.00","19.00","1.00","0.00","0.06",10,"NEW"
18,18,"BENIGN",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",11,"NEW"
19,19,"BENIGN",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",11,"NEW"
20,20,"BENIGN",32747,32747,1,0,"22.00","22.00","1.00","0.00","0.05",12,"NEW"
21,21,"BENIGN",32747,32747,0,1,"22.00","22.00","1.00","0.00","0.05",12,"NEW"
22,22,"BENIGN",34171,34171,1,0,"23.00","23.00","1.00","0.00","0.05",12,"NEW"
23,23,"BENIGN",34057,34057,0,1,"25.00","25.00","1.00","0.00","0.04",13,"NEW"
24,24,"BENIGN",32747,32747,1,0,"26.00","26.00","1.00","0.00","0.04",14,"NEW"
25,25,"BENIGN",33960,33960,0,1,"27.00","27.00","1.00","0.00","0.04",14,"NEW"
26,26,"BENIGN",32747,32747,1,0,"14.00","14.00","1.00","0.00","0.07",15,"NEW"
27,27,"BENIGN",32747,32747,0,1,"15.00","15.00","1.00","0.00","0.07",16,"NEW"
28,28,"BENIGN",32747,32747,1,0,"15.00","15.00","1.00","0.00","0.07",16,"NEW"
29,29,"BENIGN",32747,32747,0,1,"15.00","15.00","1.00","0.00","0.07",16,"NEW"
30,30,"BENIGN",33803,33803,1,0,"15.50","15.50","1.00","0.00","0.07",16,"NEW"
31,31,"BENIGN",32747,32747,0,1,"16.00","16.00","1.00","0.00","0.06",17,"NEW"
32,32,"BENIGN",32747,32747,1,0,"17.00","17.00","1.00","0.00","0.06",18,"NEW"
33,34,"BENIGN",32747,32747,1,0,"18.00","18.00","1.00","0.00","0.06",19,"NEW"
34,33,"BENIGN",33683,33683,0,1,"17.50","17.50","1.00","0.00","0.06",18,"NEW"
35,35,"BENIGN",33632,33632,0,1,"18.50","18.50","1.00","0.00","0.06",19,"NEW"
36,36,"BENIGN",32747,32747,1,0,"19.00","19.00","1.00","0.00","0.05",20,"NEW"
37,38,"BENIGN",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
38,37,"BENIGN",33587,33587,0,1,"19.50","19.50","1.00","0.00","0.05",20,"NEW"
39,39,"BENIGN",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
40,40,"BENIGN",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
41,41,"BENIGN",64240,65160,0,1,"1.00","1.00","0.00","0.00","0.00",1,"NEW"
42,42,"BENIGN",65160,64250,1,1,"1.00","3.00","0.00","0.00","0.00",1,"NEW"
43,43,"BENIGN",64250,65092,1,0,"3.00","2.00","0.00","0.00","0.00",1,"NEW"
44,44,"BENIGN",64250,65092,1,0,"3.00","2.00","0.00","0.00","0.00",1,"NEW"
45,45,"BENIGN",65069,64252,1,0,"3.00","4.00","0.00","0.00","0.00",1,"NEW"
46,46,"BENIGN",64252,65069,1,0,"4.00","3.00","0.00","0.00","0.00",1,"NEW"
47,47,"BENIGN",65069,64252,1,0,"3.00","4.00","0.00","0.00","0.00",1,"NEW"
48,48,"BENIGN",502,509,1,0,"1.00","1.00","0.00","0.00","0.00",1,"NEW"
49,49,"BENIGN",509,502,1,0,"1.00","2.00","0.00","0.00","0.00",1,"NEW"
50,50,"BENIGN",502,509,1,0,"3.00","1.00","0.00","0.00","0.00",1,"NEW"
51,51,"BENIGN",502,509,1,0,"3.00","2.00","0.00","0.00","0.00",1,"NEW"
52,52,"BENIGN",509,502,1,0,"2.00","3.00","0.00","0.00","0.00",1,"NEW"
53,53,"BENIGN",65058,64227,1,0,"4.00","5.00","0.00","0.00","0.00",1,"NEW"
54,54,"BENIGN",64227,65051,1,0,"5.00","5.00","0.00","0.00","0.00",1,"NEW"
55,55,"BENIGN",65046,64198,1,0,"6.00","7.00","1.00","0.00","0.08",1,"NEW"
56,57,"BENIGN",64190,65046,1,0,"8.00","6.00","1.00","0.00","0.08",1,"NEW"
57,56,"BENIGN",64198,65046,1,0,"7.00","6.00","1.00","0.00","0.08",1,"NEW"
58,58,"BENIGN",65046,64190,1,0,"6.00","8.00","1.00","0.00","0.08",1,"NEW"
59,59,"BENIGN",64190,65046,1,0,"8.00","6.00","1.00","0.00","0.08",1,"NEW"
60,60,"BENIGN",502,509,1,0,"4.00","2.00","1.00","0.00","0.20",1,"NEW"
61,61,"BENIGN",64201,65062,0,1,"5.00","3.50","1.00","0.00","0.12",1,"NEW"
62,62,"BENIGN",65062,64206,1,1,"3.50","5.50","1.00","0.00","0.12",2,"NEW"
63,63,"BENIGN",64206,65058,1,0,"5.50","4.00","1.00","0.00","0.11",1,"NEW"
64,64,"BENIGN",64210,65058,1,0,"6.00","4.00","1.00","0.00","0.11",1,"NEW"
65,65,"BENIGN",65054,64210,1,0,"4.50","6.00","1.00","0.00","0.10",2,"NEW"
66,66,"BENIGN",64210,65054,1,0,"6.00","4.50","1.00","0.00","0.10",1,"NEW"
67,67,"BENIGN",65054,64210,1,0,"4.50","6.00","1.00","0.00","0.10",2,"NEW"
68,68,"BENIGN",502,509,1,0,"3.00","1.50","1.00","0.00","0.25",1,"NEW"
69,69,"BENIGN",509,502,1,0,"1.50","3.50","1.00","0.00","0.22",1,"NEW"
70,70,"BENIGN",502,509,1,0,"3.50","1.50","1.00","0.00","0.22",1,"NEW"
71,71,"BENIGN",502,509,1,0,"3.50","2.00","1.00","0.00","0.20",1,"NEW"
72,72,"BENIGN",509,502,1,0,"2.00","3.50","1.00","0.00","0.20",1,"NEW"
73,73,"BENIGN",65048,64204,1,0,"3.67","6.50","1.00","0.00","0.13",2,"NEW"
74,74,"BENIGN",64198,65048,1,0,"4.67","3.67","1.00","0.00","0.12",1,"NEW"
75,75,"BENIGN",65048,64194,1,0,"3.67","5.00","1.00","0.00","0.12",2,"NEW"
76,76,"BENIGN",64194,65048,1,0,"5.00","3.67","1.00","0.00","0.12",1,"NEW"
77,77,"BENIGN",64194,65046,1,0,"5.00","4.00","1.00","0.00","0.12",1,"NEW"
78,78,"BENIGN",65046,64190,1,0,"4.00","5.33","1.00","0.00","0.11",2,"NEW"
79,79,"BENIGN",64190,65046,1,0,"5.33","4.00","1.00","0.00","0.11",1,"NEW"
80,80,"BENIGN",502,509,1,0,"2.67","2.00","1.00","0.00","0.27",1,"NEW"
81,81,"BENIGN",64192,65055,0,1,"3.40","2.60","2.00","0.00","0.17",1,"NEW"
82,82,"BENIGN",65055,64199,1,1,"2.60","3.80","2.00","0.00","0.16",3,"NEW"
83,83,"BENIGN",64199,65053,1,0,"3.80","2.80","2.00","0.00","0.16",1,"NEW"
84,84,"BENIGN",64202,65053,1,0,"4.00","2.80","2.00","0.00","0.15",1,"NEW"
85,85,"BENIGN",65053,64202,1,0,"2.80","4.00","2.00","0.00","0.15",3,"NEW"
86,86,"BENIGN",64202,65051,1,0,"4.00","3.00","2.00","0.00","0.15",1,"NEW"
87,87,"BENIGN",65051,64202,1,0,"3.00","4.00","2.00","0.00","0.15",3,"NEW"
88,88,"BENIGN",502,509,1,0,"2.00","1.00","2.00","0.00","0.36",1,"NEW"
89,89,"BENIGN",509,502,1,0,"1.00","2.20","2.00","0.00","0.33",1,"NEW"
90,90,"BENIGN",502,509,1,0,"2.20","1.20","2.00","0.00","0.31",1,"NEW"
91,91,"BENIGN",502,509,1,0,"2.20","1.20","2.00","0.00","0.31",1,"NEW"
92,92,"BENIGN",509,502,1,0,"1.20","2.20","2.00","0.00","0.31",1,"NEW"
93,93,"BENIGN",65049,64198,1,0,"3.20","4.20","2.00","0.00","0.14",3,"NEW"
94,94,"BENIGN",64195,65048,1,0,"4.40","3.40","2.00","0.00","0.13",1,"NEW"
95,95,"BENIGN",65048,64195,1,0,"3.40","4.40","2.00","0.00","0.13",3,"NEW"
96,96,"BENIGN",64192,65048,1,0,"3.83","3.40","2.00","0.00","0.15",1,"NEW"
97,97,"BENIGN",64190,65046,1,0,"4.00","3.00","2.00","0.00","0.15",1,"NEW"
98,98,"BENIGN",65046,64190,1,0,"3.00","4.00","2.00","0.00","0.15",3,"NEW"
99,99,"BENIGN",64190,65046,1,0,"4.00","3.00","2.00","0.00","0.15",1,"NEW"
100,100,"BENIGN",502,509,1,0,"2.00","1.20","2.00","0.00","0.35",1,"NEW"
101,101,"BENIGN",64194,65052,0,1,"2.60","1.90","4.00","0.00","0.23",1,"NEW"
102,102,"BENIGN",65052,64196,1,1,"1.90","2.70","4.00","0.00","0.22",4,"NEW"
103,103,"BENIGN",64196,65051,1,0,"2.70","2.00","4.00","0.00","0.22",1,"NEW"
104,104,"BENIGN",64196,65051,1,0,"2.70","2.00","4.00","0.00","0.22",1,"NEW"
105,105,"BENIGN",65051,64198,1,0,"2.00","2.80","4.00","0.00","0.21",4,"NEW"
106,106,"BENIGN",64198,65049,1,0,"2.80","2.10","4.00","0.00","0.21",1,"NEW"
107,107,"BENIGN",65049,64198,1,0,"2.10","2.80","4.00","0.00","0.21",4,"NEW"
108,108,"BENIGN",502,509,1,0,"1.40","0.70","4.00","0.00","0.50",1,"NEW"
109,109,"BENIGN",509,502,1,0,"0.70","1.50","4.00","0.00","0.48",1,"NEW"
110,110,"BENIGN",502,509,1,0,"1.50","0.80","4.00","0.00","0.45",1,"NEW"
111,111,"BENIGN",502,509,1,0,"1.50","0.80","4.00","0.00","0.45",1,"NEW"
112,112,"BENIGN",509,502,1,0,"0.80","1.50","4.00","0.00","0.45",1,"NEW"
113,113,"BENIGN",65047,64196,1,0,"2.30","2.90","4.00","0.00","0.20",4,"NEW"
114,114,"BENIGN",64196,65047,1,0,"2.90","2.30","4.00","0.00","0.20",1,"NEW"
115,115,"BENIGN",65047,64194,1,0,"2.30","2.73","4.00","0.00","0.21",4,"NEW"
116,117,"BENIGN",64190,65046,1,0,"2.91","2.18","4.00","0.00","0.20",1,"NEW"
117,116,"BENIGN",64192,65046,1,0,"2.82","2.18","4.00","0.00","0.20",1,"NEW"
118,118,"BENIGN",65046,64190,1,0,"2.18","2.91","4.00","0.00","0.20",4,"NEW"
119,119,"BENIGN",64191,65046,1,0,"3.00","2.18","4.00","0.00","0.20",1,"NEW"
120,120,"BENIGN",502,509,1,0,"1.45","0.80","4.00","0.00","0.48",1,"NEW"
121,121,"BENIGN",64193,65051,0,1,"3.09","2.27","4.00","0.00","0.19",1,"NEW"
122,123,"BENIGN",64195,65051,1,0,"3.18","2.27","4.00","0.00","0.19",1,"NEW"
123,122,"BENIGN",65051,64193,1,1,"2.27","3.09","4.00","0.00","0.19",5,"NEW"
124,124,"BENIGN",64196,65050,1,0,"3.27","2.36","4.00","0.00","0.18",1,"NEW"
125,125,"BENIGN",65049,64196,1,0,"2.45","3.27","4.00","0.00","0.18",5,"NEW"
126,126,"BENIGN",64196,65049,1,0,"3.27","2.45","4.00","0.00","0.18",1,"NEW"
127,128,"BENIGN",502,509,1,0,"1.55","0.82","4.00","0.00","0.44",1,"NEW"
128,127,"BENIGN",65049,64196,1,0,"2.45","3.27","4.00","0.00","0.18",5,"NEW"
