"id_alert","id_pcap","label","mean_win_fwd","mean_win_bwd","ack_count","syn_count","fwd_pck","bwd_pck","iat_max","iat_min","iat_mean","ports_number","status"
1,4,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
2,1,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
3,3,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
4,2,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
5,6,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
6,5,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
7,9,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
8,11,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
9,7,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
10,10,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
11,8,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
12,12,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
13,14,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
14,15,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
15,17,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
16,18,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
17,13,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
18,16,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
19,19,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
20,22,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
21,21,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
22,20,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
23,23,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
24,24,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
25,25,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
26,26,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
27,29,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
28,27,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
29,28,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
30,30,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
31,31,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
32,32,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
33,34,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
34,33,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
35,36,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
36,35,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
37,37,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
38,38,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
39,40,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
40,39,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.10",21,"NEW"
41,41,"BENIGN",64194,65048,0,1,"2.00","1.50","4.00","0.00","0.29",1,"NEW"
42,42,"BENIGN",65048,64194,1,1,"1.50","2.00","4.00","0.00","0.29",8,"NEW"
43,43,"BENIGN",64194,65048,1,0,"2.00","1.50","4.00","0.00","0.29",1,"NEW"
44,44,"BENIGN",64194,65048,1,0,"2.00","1.50","4.00","0.00","0.29",1,"NEW"
45,45,"BENIGN",65048,64194,1,0,"1.50","2.00","4.00","0.00","0.29",8,"NEW"
46,46,"BENIGN",64194,65048,1,0,"2.00","1.50","4.00","0.00","0.29",1,"NEW"
47,47,"BENIGN",65048,64194,1,0,"1.50","2.00","4.00","0.00","0.29",8,"NEW"
48,48,"BENIGN",502,509,1,0,"1.03","0.52","5.00","0.00","0.67",1,"NEW"
49,49,"BENIGN",509,502,1,0,"0.52","1.03","5.00","0.00","0.67",1,"NEW"
50,50,"BENIGN",502,509,1,0,"1.03","0.52","5.00","0.00","0.67",1,"NEW"
51,51,"BENIGN",502,509,1,0,"1.03","0.52","5.00","0.00","0.67",1,"NEW"
52,52,"BENIGN",509,502,1,0,"0.52","1.03","5.00","0.00","0.67",1,"NEW"
53,53,"BENIGN",65047,64190,1,0,"1.52","2.03","4.00","0.00","0.28",8,"NEW"
54,54,"BENIGN",64190,65047,1,0,"2.03","1.52","4.00","0.00","0.28",1,"NEW"
55,55,"BENIGN",65046,64190,1,0,"1.55","2.03","4.00","0.00","0.28",8,"NEW"
56,56,"BENIGN",64190,65046,1,0,"2.06","1.55","4.00","0.00","0.28",1,"NEW"
57,57,"BENIGN",64190,65046,1,0,"2.06","1.55","4.00","0.00","0.28",1,"NEW"
58,58,"BENIGN",65046,64190,1,0,"1.55","2.06","4.00","0.00","0.28",8,"NEW"
59,59,"BENIGN",64190,65046,1,0,"2.06","1.55","4.00","0.00","0.28",1,"NEW"
60,61,"BENIGN",64190,65046,0,1,"2.06","1.55","4.00","0.00","0.28",1,"NEW"
61,60,"BENIGN",502,509,1,0,"1.03","0.52","5.00","0.00","0.66",1,"NEW"
62,62,"BENIGN",65046,64190,1,1,"1.55","2.06","4.00","0.00","0.28",8,"NEW"
63,63,"BENIGN",64190,65046,1,0,"2.06","1.55","4.00","0.00","0.28",1,"NEW"
64,64,"BENIGN",64190,65046,1,0,"2.06","1.55","4.00","0.00","0.28",1,"NEW"
65,65,"BENIGN",65046,64190,1,0,"1.55","2.06","4.00","0.00","0.28",8,"NEW"
66,67,"BENIGN",65046,64190,1,0,"1.55","2.06","4.00","0.00","0.28",8,"NEW"
67,66,"BENIGN",64190,65046,1,0,"2.06","1.55","4.00","0.00","0.28",1,"NEW"
68,68,"BENIGN",502,509,1,0,"1.03","0.52","5.00","0.00","0.66",1,"NEW"
69,70,"BENIGN",502,509,1,0,"1.03","0.52","5.00","0.00","0.66",1,"NEW"
